user1@node1:/mnt/storage/user1/oltpbench/results$ cat outputfile.res
time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
550,298.400,33.350,0.577,8.775,16.769,24.727,50.588,183.334,400.560,450.625,0.030
555,354.400,29.469,0.595,4.008,16.546,24.363,49.910,187.128,325.625,358.312,0.034
560,382.600,24.977,0.351,2.005,7.437,16.959,39.890,83.498,435.659,709.289,0.040
565,324.400,30.619,0.332,1.934,7.093,16.763,34.361,158.980,673.082,843.623,0.033
570,310.200,32.277,0.325,2.406,13.809,24.114,66.136,189.224,375.899,485.107,0.031
575,338.800,30.837,0.545,8.451,16.707,24.199,42.099,175.061,242.436,571.489,0.032
580,330.800,30.974,0.523,8.582,16.733,23.815,41.776,175.347,383.815,533.417,0.032
585,309.000,30.117,0.367,8.294,16.751,24.694,50.086,174.775,260.997,367.089,0.033
590,215.200,47.557,0.604,7.759,16.806,25.338,105.694,208.465,816.500,1024.629,0.021
595,294.000,32.691,0.449,8.807,16.780,25.030,58.813,182.593,359.066,417.554,0.031
